youtube_link,s1,f1,s2,f2,s3,f3,sf,ff,second task
https://www.youtube.com/watch?v=wuKvH8a9aug&t=790s,0:45,4:17,6:03,8:10,8:35,11:44,12:00,18:53,"Talk about a useful piece of equipment (not the computer) that you use at home.
You should say:
1) What it is
2) How you use it
3) How often you use it
and explain why it is important."
https://www.youtube.com/watch?v=-rh-XeX86fs,0:39,4:25,6:00,8:06,8:22,11:32,11:34,12:05,"Describe something interesting you came across on social media.
You should say:
1) Where you were
2) What it was
3) What you did
and explain how your experience was with it."
https://www.youtube.com/watch?v=Nj9xEQZbtYs&t=419s,1:02,4:13,6:15,8:16,8:35,12:52,13:22,19:42,"Describe a quiz program or game show on TV you like. You should say:
1) What it is
2) How you know it
3) What it is like
And explain why you like it."
https://www.youtube.com/watch?v=jJDD0bhXAOQ&t=996s,1:11,5:34,7:30,9:25,10:02,14:19,14:53,18:56,"Describe an interesting discussion you had as a part of your work or studies.
You should say:
1) what the subject of the discussion was
2) who you discussed the subject with
3) what opinions were expressed
And explain why you found the discussion interesting"
https://www.youtube.com/watch?v=Q7PE7w7Ursc,0:23,5:02,5:31,7:16,7:24,10:49,10:50,11:22,"Describe a child that you know and like a lot. 
You should say:
1) Who the child is
2) How do you know them
3) What do they enjoy doing
and explain why you like them a lot."
https://www.youtube.com/watch?v=rxfwonsEifI,0:43,2:22,3:30,5:40,5:41,12:13,12:15,12:20,"Describe a crowded place you have been to
You should say
1) where the place is (or, was) ?
2) when you went there ?
3) with whom you went there ?
and explain what you felt about this crowded place?"
https://www.youtube.com/watch?v=1WPrNqAxFnA,0:58,4:42,5:51,8:47,9:15,14:37,14:40,15:00,"Describe a leader whom you admire""
You should say:
1) Who this person is ?
2) What this person does (as a leader) ?
3) How he or she became a leader
and explain, why you admire this leader ?"
https://www.youtube.com/watch?v=ZaieqzOEGgU,0:19,2:38,4:35,6:10,6:36,12:02,12:05,12:20,"Describe an important choice you had to make in your life'
You should say:
1) When you had to make this choice ?
2) What you had to choose between ?
3) Whether you made a good choice ?
and then explain, how you felt when you were making this choice?"
https://www.youtube.com/watch?v=_Pi3euUSWLk,0:41,4:06,5:11,7:00,7:05,10:04,10:06,10:21,"Describe a meal that you like to eat.
You should say,
1) What the meal is ?
2) How often you eat it ?
3) If you eat it at home or in a restaurant ?
and say why you like it so much?"
https://www.youtube.com/watch?v=qxbGDCOkMh4,0:42,3:55,5:05,7:00,7:01,9:20,9:25,9:40,"Describe a gift that you liked
You should say,
1) what the gift was?
2) why you received it?
3) who gave it to you?
and say what it is about the gift that you liked?"
https://www.youtube.com/watch?v=bGlQDqwIadE,0:45,3:17,4:51,6:43,7:04,9:04,9:06,9:16,"Describe a monument that you like.
You should say:
1) What this monument is
2) Where this monument is
3) What it looks like
And explain why you like this monument."
https://www.youtube.com/watch?v=SAM-reXdQQo,0:20,5:22,6:16,7:23,7:30,10:57,10:58,11:04,"Describe someone who likes cooking (for others) You can say: 
1) who the person 
2) what kind of things they usually cook 
3) how often they cook for others 
and why you think they enjoy it"
https://www.youtube.com/watch?v=x2mMHhhKozY,0:23,1:45,3:08,4:26,4:45,7:03,7:04,7:09,"Describe a difficult task you had to do 
You can say: 
1) what the task was 
2) when you were given the task 
3) if you succeeded in doing the task or not – and why you thought it was difficult"
https://www.youtube.com/watch?v=ABYi58j1Rmo,0:21,2:38,3:44,4:22,4:33,6:03,6:05,6:11,"Describe something you did in a hurry
You can say:
1) when it was
2) what you did
3) why you did it in a hurry
4) and if you succeeded or not "
https://www.youtube.com/watch?v=IWBwLECYNnE,0:21,5:23,6:33,8:33,8:45,11:53,11:54,11:59,"Describe a person you know who talks a lot
You can say:
1) who they are
2) how you know them
3) what they usually talk about
and how you feel about them"
https://www.youtube.com/watch?v=-LFG9rd8u70,0:31,3:34,4:50,6:03,6:10,7:43,7:44,7:50,"Describe an occasion when you had to wait a long time for someone or something to arrive.
You should say:
1) who or what you were waiting for
2) how long you had to wait
3) why you had to wait a long time
and explain how you felt about waiting for such a long time."
https://www.youtube.com/watch?v=56yZFja9tjg,0:39,3:39,5:02,6:35,7:05,11:23,11:50,12:10,"Talk about a painting you would like to have in your home. You should say:
1) what is it
2) how you know about it
3) how much it would cost you 
and explain why you want to have it in your home"
https://www.youtube.com/watch?v=WBMu2HYFt-k,0:39,4:46,6:05,8:11,8:26,12:53,13:18,14:00,"Talk about a book you are reading now or have read recently. You should say:
1) How and why you got it
2) How long it took you to read it or how long you have been reading it
3) What kind of book it is
and say if you would like to read something else similar or not, and whv"
https://www.youtube.com/watch?v=GoWXcn8sU00,0:54,5:06,6:42,8:39,10:17,14:22,15:08,16:00,"Describe an environmental problem or event. You should say:
1) what it is
2) where it is happening
3) what problems it causes
and what is being done to solve the problem"
https://www.youtube.com/watch?v=1YhdJPrHVTY,0:48,5:33,7:12,9:14,9:37,13:20,13:45,14:00,"Talk about your favorite subject you studied in school.
You should say:
1) What the subject was?
2) In which grade or grades you studied it?
3) What kinds of things you learned about it and explain what you liked about it."
