Part;Global theme;Theme;Question;link
3;Free time, hobbies & Skills;Holidays;"First of all, why do people go on holiday?
How important is it for families to go on holiday together?
Why do some people go on holiday alone?
How have holidays changed over the past few decades?
What kind of holidays will be popular in the future?
Let’s move on to talk about taking holidays in foreign country. Do you think is it better to take a holiday in your own country or in a foreign country?
What problems can people have on holiday in a foreign country?";https://www.bestmytest.com/ielts/speaking
3;Free time, hobbies & Skills;Party;"When do people usually have parties in your country?
What makes a good party?
What are the main reasons why people organise family parties in your country?
In some places people spend a lot of money on parties that celebrate special family events. Is this ever true in your country? Do think this is a good trend or a bad trend?
How important is it to celebrate important events with a group of people?
Why do some people think that national celebrations are a waste of government money? Do you agree or disagree with this view? Why?";https://www.bestmytest.com/ielts/speaking
3;Free time, hobbies & Skills;Plans;"In general, do you think planning is important?
Do you think people should make highly detailed plans or just general plans?
What types of people like to make plans?
Why do you think some people dislike making plans?
Let’s move on from planning to career plans. Do you think it's important for a person to have a career plan?
How do most people plan their futures in their education and careers?
Do you think it's important for young people to get advice from their parents when planning a career?";https://www.bestmytest.com/ielts/speaking
3;Free time, hobbies & Skills;Parties;"Which types of parties are popular in your country?
Is it true that everybody likes parties?
Do you prefer receiving emails or birthday cards on your birthday? 
How does alcohol affect the atmosphere of a party? 
Is music important to a party?
Quiet Places
Why do old people prefer quiet places?
What are the main causes of noise in cities?
Why are suburbs quieter?
Why might some people not enjoy quiet places?
Will cities be nosier in the future?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Technology;Electronic devices;"What are the most popular electronic devices in today’s world?
What devices do you think will be popular in the future?
Let’s move on to the role of electronic devices in today’s society. Do you think people spend too much money on electronic devices?
In what ways can electronic devices make our lives harder?
What would the world be like without computers?
Should children be taught to use computers at school?";https://www.bestmytest.com/ielts/speaking
3;Technology;Machine;"What kinds of machines are used for housework in modern homes in your country?
How have these machines benefited people? Are there any negative effects of using them?
Do you think all new homes will be equipped with household machines in the future? Why?
Let’s move on to technology. Do you think people rely too much on technology?
Do you think men and women view technology differently?
Finally, let’s talk about the impact of technology on employment. How have developments in technology affected employment in your country?
Some people think that technology has brought more stress than benefits to employed people nowadays. Do you agree or disagree with this statement?";https://www.bestmytest.com/ielts/speaking
3;Technology;Information;"How did people find out information in the past?
How has that changed now?
Do people today rely too much on online information?
Can a personal diary be a reliable source of information?
How do historians verify the information they come across?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Technology;Smartphones;"When should parents allow their children to have a phone?
Are there are places in your country where phones are not allowed?
How can phones be disruptive sometimes?
Do people in your country often switch off their phones?
Are people often impolite with their phone use?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Media & Entertainment;Internet;"How do you think the Internet will change people's buying habits in the future?
What are the pros and cons of shopping online?
Is the Internet important for education?
Do you think parents should supervise their children’s use of the Internet?
What's the best age for children to use the Internet?
Why do children start using the Internet very early nowadays?
Let’s move on to what people do on the Internet. What do you think people do on the Internet?
What about elderly people? Do elderly people use the Internet very much?";https://www.bestmytest.com/ielts/speaking
3;Media & Entertainment;Music;"What kind of music is popular in your country?
How does pop music now compare to when you were growing up?
Is foreign music or music from your country more popular with people your age?
Let’s move on to the role of government on music. Do you think is it necessary for the government to require all children to learn music?
Do you think the government needs to do more to preserve traditional music? What could they do?
Finally, let’s talk about illegal downloading of music. There's a lot of pirated music. Do you agree that we should support official music?
What are some possible advantages and disadvantages of being stricter about the illegal downloading of music?
Do you think CDs will have any role in the music industry in the future?";https://www.bestmytest.com/ielts/speaking
3;Media & Entertainment;News;"How do people get their news in today’s society?
How do you think people will get their news in the future?
How does modern technology affect the delivery of news?
Do you believe everything you read in the newspaper?
Let’s move on to the topic of good news. In your opinion, when do people share good news?
How do people share good news?";https://www.bestmytest.com/ielts/speaking
3;Media & Entertainment;TV;"Tell me about the types of programmes that are generally on television in your country.
Do you think state or private television is better?
Let’s move on from TV programmes to television in general. How has TV changed our lives?
Do you think TV influences the way we think?
Should children be allowed to watch a lot of TV?
Are all people on TV famous?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Changes;"Do you think change is good?
What are some of the major changes that occur to people throughout their lives?
Is your country changing rapidly?
In what ways have changes in technology changed people's lives?
Why do old people not accept change?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Decision;"Why do some people find it hard to make decisions?
How important is it to get advice from other people when making decisions?
Why is it sometimes difficult to accept advice?
What are some of the most important decisions young people have to make?
Do you agree that parents should make important decisions for their children?
Is it better to make a decision thinking about what you want or thinking about what other people want?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Exciting experience;"Can you compare some exciting activities people do now with activities people did 20 years ago?
Why do some people enjoy doing dangerous sports?
Do you think some dangerous activities should be banned?
Let’s move on from exciting activities to people doing new things in general. Should people try doing new things?
What problems can people have when they try new activities for the first time?
Do you think it’s best to do new things on your own or with other people?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Late;"What is the general attitude towards arriving somewhere late in your country?
What is an example of a time that it is very important for people to arrive on time in your country?
Can you suggest some ways to make sure you are not late for anything?
Let’s move on to how modern technology influences the way that people manage time. Do you think computers make it easier or more difficult to manage time?
How can modern technology help people arrive early?
Do you think it is easy to manage your time in the modern world?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Health;"How can people improve their health?
Do elderly people exercise much in your country?
Do you think all illnesses can be prevented?
Do you think that illnesses will be less common in the future?
Do you think healthcare should be free?
What makes someone a good doctor?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Memory;"Do you think it's important to have a good memory?
Why do sometimes people forget things?
Which do you think is more important to remember, a business meeting or a meeting with a friend?
Are there any things that are especially important for people to memorize?
Let’s move on from memory to family history. Why do people want to remember their family history?
What can you do to learn more about your family history?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Influence;"What types of people influence the young in your country?
What type of people, such as parents, teachers, or friends, are best to influence young people’s behavior?
Why it is important for young people to have role models?
What do you think young people will be influenced by the most in the future?";https://www.bestmytest.com/ielts/speaking
3;Body & Mind;Sports;"What types of sports are popular in your country?
Do you think the types of sports that are popular will change in the future?
Let’s move on to talk about some positive aspects of sports. In your opinion, what are the benefits of playing a sport?
What about cultural aspects? How can sports bring people from different countries closer together?
Do you think old people can keep fit by playing sports or exercising?
Finally, let’s talk about Olympic Games. How are the Olympic players trained in your country? Do they usually start training when they are born?
Why would somebody dislike watching the Olympic Games?";https://www.bestmytest.com/ielts/speaking
3;Clothes & accessories;Clothes;"Can clothing tell you much about a person in your country?
Do people still wear traditional clothing in your country?
How has clothing fashion changed in your country over the last few decades?
Let’s move on from clothing to uniforms. Why do some companies ask their staff to wear uniforms?
What are the advantages and disadvantages of having uniforms at work?
For which jobs are people required to wear a uniform in your country?
Do you think people are treated differently when they are in uniform?";https://www.bestmytest.com/ielts/speaking
3;Clothes & accessories;Fashion;"Why are designer bran clothes popular?
Why are these brands so expensive?
How has fashion changed in your country?
Is it important for designers to stay up to date with the latest fashions?
Is fashion more important than adapting your clothes to the weather?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Clothes & accessories;Beauty;"What is beauty for you? 
Do you think the media influences our idea of beauty? 
Do you think advertisements portrayal of beauty is correct? 
How has people’s idea of beauty changed over the last few decades?
Do you think beauty only relates to a person’s appearance? ";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Clothes & accessories;Clothes & Fashion;"Do you think that fashion trends are important? Why or why not?
Do you think you can tell about someone’s personality based on their fashion choices? 
Have you ever worn an outfit that you later regretted? What was it and why did you regret it?
What kind of clothing do you think is appropriate for different occasions, like job interviews or weddings?
Do you think that people dressed more formally nowadays compared to the past? 
Do you think that people should be judged based on their clothing choices? Why or why not?";https://markteacher.com/part-2-3-a-piece-of-clothing-may-dec-2023/
3;Things & Objects;Furniture;"In what situations do people in your country buy furniture?
In families in your country, who usually decides what furniture to buy for the home?
How do people  in your country decide what furniture to buy for the home or office?
Do people in your country prefer traditional or modern styles of furniture?";https://www.bestmytest.com/ielts/speaking
3;Things & Objects;Products;"What kinds of products are mostly imported into your country?
In your opinion, why do some people like to buy imported products?
Let’s move on to local products. What are some famous local products in your country?
Do you think a country should make everything it needs or import some things?
What are the disadvantages of a country producing everything it needs?
Finally, let’s talk about globalisation. Do you think the globalisation of industries and commerce is a good thing?
What are the impacts of globalization on international trade?";https://www.bestmytest.com/ielts/speaking
3;Things & Objects;Things;"What kinds of possessions are considered high-status to people in your country?
Were different possessions thought of as valuable in the past?
Why do you think people need to show their status in society?
Let’s move on to the role of advertising. Do you think advertising influences what people buy?
Do advertisements give correct information, or do they encourage people to buy things that they may not need?
Is advertising really necessary in modern society?";https://www.bestmytest.com/ielts/speaking
3;Things & Objects;Traditional products;"What different types of traditional products are produced in your country?
In you opinion, why do traditional products attract tourists?
Do you think there are benefits of traditional products to locals?
Do you think the government should help in the promotion of traditional products?
Let’s move on from traditional products to traditions. Do you think because of globalization countries are adopting each other traditions.
Did the traditional things of the past are of better quality than present day things?
Do you think it is necessary to protect traditions?";https://www.bestmytest.com/ielts/speaking
3;Food & Eating;Vegetables;"What vegetables are common in your country?
Do people like to grow vegetables in your country?
How do people feel when they eat vegetables that they grew on their own?
Let’s move on to the topic of organic vegetables. As we know organic fruits and vegetables are more expensive than conventional fruits and vegetables, but they are actually worth the extra cost. Do you think organic fruit deserves a higher price?
Do you think the government should encourage farmers to grow more organic vegetables?";https://www.bestmytest.com/ielts/speaking
3;Food & Eating;Food;"What are the types of food that people eat in your country.
What about foreign food? What kinds of foreign food are popular in your country?
In your country, is it important to have a meal together with your family?
Is food now better than in the past?
Let’s move on to diet and eating habits. Do you think our diet is important?
What is a balanced diet?
How are the eating habits now in your country different from eating habits in the past?
How might eating habits change in coming decades?";https://www.bestmytest.com/ielts/speaking
3;Work, Business, Money & Shopping;Advertisment;"What are popular types of advertising in today’s world?
What type of media advertising do you like most?
Do you think advertising influences what people buy?
What factors should be taken into account when making advertisements?
Is advertising really necessary in modern society?
Let’s move on from types of advertising to the impact of advertising on children. How does advertising influence children?
Is there any advertising that can be harmful to children?";https://www.bestmytest.com/ielts/speaking
3;Work, Business, Money & Shopping;Business;"In your opinion, do business people have to work long hours?
How do business people relax?
Let’s move on to the topic of small businesses. How can a small business grow big?
In your opinion, what kind of small businesses will young people have in the future?
In your opinion, what skills are required to start a small business?
Finally, let’s talk about globalization. What are the impacts of globalization on small and large businesses?";https://www.bestmytest.com/ielts/speaking
3;Work, Business, Money & Shopping;Company;"What is the difference between big companies and small companies?
Are there many big companies in your country?
What are the good things about working for a big company?
Should big companies be punished more seriously than small companies?
Why do some people choose to work at an international company?
Let’s move on to the topic of companies’ services. How can a company maintain the quality of the service that it gives to the public?
Do you think it's important for a company to provide after-sales service?";https://www.bestmytest.com/ielts/speaking
3;Work, Business, Money & Shopping;Money;"Is money important to you?
What is the relationship between money and power?
Let’s move on to teaching children about money. How do you think parents can teach the value of money to their children?
Do you think it is important to teach children money skills?
Should we let children buy whatever they want with money they’ve saved?";https://www.bestmytest.com/ielts/speaking
3;Work, Business, Money & Shopping;Shopping;"Is shopping a popular activity in your country?
How have shopping habits changed over recent years?
To what extent do you think advertising affects the way people shop?
Do you think shopping habits are likely to change in the future?
Why do some people prefer to purchase brand name products produced abroad?
Is service better in large shops or in small shops?
What do people do when they get bad service?";https://www.bestmytest.com/ielts/speaking
3;Work, Business, Money & Shopping;Work;"Do you think job satisfaction is more important than your salary when choosing a job?
What skills do you think are needed to get a good job these days?
Do you think that women should be able to do the same jobs as men?
What’s the difference between white collar and blue collar jobs?
What jobs do you think are most valuable to society?";https://www.bestmytest.com/ielts/speaking
